Relative_x,Smoothed_lq6,Std_lq6
-7.399999999999820943e+00,2.262400679878959209e-01,1.261793063329406661e-01
-7.299999999999819522e+00,2.264087173210280746e-01,1.264100586934369941e-01
-7.199999999999818101e+00,2.266069643009393231e-01,1.244236994899191318e-01
-7.099999999999816680e+00,2.268370023946375824e-01,1.273852774426693091e-01
-6.999999999999815259e+00,2.271005871404193355e-01,1.263533291856941132e-01
-6.899999999999813838e+00,2.273988282626812629e-01,1.257457178162863509e-01
-6.799999999999812417e+00,2.277319557116058435e-01,1.254722855428256345e-01
-6.699999999999810996e+00,2.280990728038621851e-01,1.240379683113983639e-01
-6.599999999999809575e+00,2.284979178008495482e-01,1.256376861409617685e-01
-6.499999999999808153e+00,2.289246636178202676e-01,1.258044002840942310e-01
-6.399999999999806732e+00,2.293737919680476356e-01,1.254121143524707938e-01
-6.299999999999805311e+00,2.298380806513306562e-01,1.256222520876660864e-01
-6.199999999999803890e+00,2.303087384806089544e-01,1.248728486996648068e-01
-6.099999999999802469e+00,2.307757099948985757e-01,1.253585337459146853e-01
-5.999999999999801048e+00,2.312281519560164256e-01,1.235628752788590218e-01
-5.899999999999799627e+00,2.316550584331839857e-01,1.243178908457675119e-01
-5.799999999999798206e+00,2.320459861003123236e-01,1.255888267367890054e-01
-5.699999999999796785e+00,2.323918124631056681e-01,1.257564023955067833e-01
-5.599999999999795364e+00,2.326854527275320772e-01,1.255108752706297626e-01
-5.499999999999793943e+00,2.329224690061106606e-01,1.273528748492196438e-01
-5.399999999999792522e+00,2.331015278934139290e-01,1.283443650769183764e-01
-5.299999999999791100e+00,2.332246948598857006e-01,1.286635691128382997e-01
-5.199999999999789679e+00,2.332975898977341922e-01,1.282951513248303532e-01
-5.099999999999788258e+00,2.333294616936732457e-01,1.292563801060449546e-01
-4.999999999999786837e+00,2.333332622581855142e-01,1.290551948529145287e-01
-4.899999999999785416e+00,2.333258179987044989e-01,1.298080440112593104e-01
-4.799999999999783995e+00,2.333281967084709085e-01,1.278235724508098026e-01
-4.699999999999782574e+00,2.333663641448269488e-01,1.301769022484222660e-01
-4.599999999999781153e+00,2.334722096439651173e-01,1.294403985449293359e-01
-4.499999999999779732e+00,2.336849961747971549e-01,1.305626326245077906e-01
-4.399999999999778311e+00,2.340532511516066616e-01,1.335432211529228030e-01
-4.299999999999776890e+00,2.346370500571991202e-01,1.307341104255134168e-01
-4.199999999999775468e+00,2.355105403342696579e-01,1.296676412825793490e-01
-4.099999999999774047e+00,2.367643901050794919e-01,1.320214533241048926e-01
-3.999999999999772626e+00,2.385076109482025253e-01,1.307962713012308098e-01
-3.899999999999771205e+00,2.408679004497827070e-01,1.316993387655119307e-01
-3.799999999999769784e+00,2.439893263224067188e-01,1.312214757529494569e-01
-3.699999999999768363e+00,2.480259537996840624e-01,1.307938777163505928e-01
-3.599999999999766942e+00,2.531301258518570685e-01,1.326677678504725455e-01
-3.499999999999765521e+00,2.594348376549903135e-01,1.324396283637599425e-01
-3.399999999999764100e+00,2.670312337206307562e-01,1.288273521410681355e-01
-3.299999999999762679e+00,2.759445947966116530e-01,1.349766640408461837e-01
-3.199999999999761258e+00,2.861145470986355965e-01,1.339067162091588936e-01
-3.099999999999759837e+00,2.973862772605951332e-01,1.323107698459140558e-01
-2.999999999999758415e+00,3.095179386261479593e-01,1.367338397874699740e-01
-2.899999999999756994e+00,3.222049736068677839e-01,1.379077808112685322e-01
-2.799999999999755573e+00,3.351163837441138993e-01,1.481811475840394132e-01
-2.699999999999754152e+00,3.479338771893967786e-01,1.577906393517229666e-01
-2.599999999999752731e+00,3.603844521897223152e-01,1.633505424702194619e-01
-2.499999999999751310e+00,3.722602586655364143e-01,1.702683231297298649e-01
-2.399999999999749889e+00,3.834244463765946742e-01,1.769798938602946403e-01
-2.299999999999748468e+00,3.938057296794083006e-01,1.829594604670907454e-01
-2.199999999999747047e+00,4.033862765352707047e-01,1.813363852556728606e-01
-2.099999999999745626e+00,4.121873853437769686e-01,1.823100530949074150e-01
-1.999999999999744205e+00,4.202561437716965109e-01,1.841565520871312756e-01
-1.899999999999742784e+00,4.276547753081291203e-01,1.822704127697109822e-01
-1.799999999999741362e+00,4.344532046097494549e-01,1.832613606535185569e-01
-1.699999999999739941e+00,4.407246655153087000e-01,1.869005191542446043e-01
-1.599999999999738520e+00,4.465438671107151980e-01,1.916842457482781648e-01
-1.499999999999737099e+00,4.519871814973420165e-01,2.011210107265625491e-01
-1.399999999999735678e+00,4.571343901083663175e-01,2.073162348911039843e-01
-1.299999999999734257e+00,4.620716275340728818e-01,2.085375404455291348e-01
-1.199999999999732836e+00,4.668952277036780840e-01,2.099028826592769514e-01
-1.099999999999731415e+00,4.717161577248348281e-01,2.100667092517902457e-01
-9.999999999997299938e-01,4.766645736486065932e-01,2.076131584552693143e-01
-8.999999999997285727e-01,4.818937042668288151e-01,2.035214628234564282e-01
-7.999999999997271516e-01,4.875817354769585443e-01,1.983697374589152573e-01
-6.999999999997257305e-01,4.939296681608116302e-01,1.983407971519197399e-01
-5.999999999997243094e-01,5.011524582931949912e-01,1.932652847526144801e-01
-4.999999999997228883e-01,5.094606006601015702e-01,1.875310284750761891e-01
-3.999999999997214672e-01,5.190304863142846115e-01,1.891507291619919651e-01
-2.999999999997200462e-01,5.299651935409149806e-01,1.848722076043698148e-01
-1.999999999997186251e-01,5.422529345811967216e-01,1.834740823552230837e-01
-9.999999999971720399e-02,5.557363120563303394e-01,1.829051910101963663e-01
2.842170943040400743e-13,5.701077207995591811e-01,1.853973730283124399e-01
1.000000000002856382e-01,5.849404847402166485e-01,1.861383513113175070e-01
2.000000000002870593e-01,5.997518118002506116e-01,1.852543208652149553e-01
3.000000000002884804e-01,6.140792595004507248e-01,1.841678685912065683e-01
4.000000000002899014e-01,6.275465450489638997e-01,1.886700172458853075e-01
5.000000000002913225e-01,6.399010148525829944e-01,1.851455336494552684e-01
6.000000000002927436e-01,6.510187548382854184e-01,1.794253200675862137e-01
7.000000000002941647e-01,6.608852334670043405e-01,1.770566531174075919e-01
8.000000000002955858e-01,6.695641998922714500e-01,1.706804768918160353e-01
9.000000000002970069e-01,6.771658809721645689e-01,1.648741848798238319e-01
1.000000000000298428e+00,6.838209382788034141e-01,1.552891651349947166e-01
1.100000000000299849e+00,6.896623185086888652e-01,1.493114173106472042e-01
1.200000000000301270e+00,6.948144150720629852e-01,1.467620995483205903e-01
1.300000000000302691e+00,6.993878231200572060e-01,1.388183111413716364e-01
1.400000000000304112e+00,7.034778459575168341e-01,1.430778627388837321e-01
1.500000000000305533e+00,7.071652463144528777e-01,1.381548217754849928e-01
1.600000000000306954e+00,7.105181815805778900e-01,1.369534076210149887e-01
1.700000000000308376e+00,7.135946533900113797e-01,1.348884692688090969e-01
1.800000000000309797e+00,7.164450881657919989e-01,1.330550079162521049e-01
