# x_center(A)  geometric_density(atoms/A3)  local_density(1/<V>)
145.60511772  0.04145308  0.05024540
145.92268614  0.10406047  0.05019124
146.24025455  0.08416890  0.04988860
146.55782296  0.07802100  0.04979176
146.87539138  0.04035622  0.04994630
147.19295979  0.08714290  0.05004488
147.51052820  0.10209122  0.04997489
147.82809662  0.06281481  0.05004464
148.14566503  0.08112119  0.04947679
148.46323345  0.06200838  0.05004853
148.78080186  0.10936430  0.05002417
149.09837027  0.06892291  0.05001475
149.41593869  0.10221794  0.05006903
149.73350710  0.03440401  0.04975339
150.05107551  0.09896972  0.05004474
150.36864393  0.09138281  0.05003977
150.68621234  0.07203263  0.05012034
151.00378076  0.05373911  0.05018177
151.32134917  0.07574574  0.05019817
151.63891758  0.10480623  0.05006656
151.95648600  0.06262207  0.04995530
152.27405441  0.08407657  0.05016294
152.59162282  0.05229280  0.05013897
152.90919124  0.10434359  0.05008187
153.22675965  0.07385007  0.05004528
153.54432807  0.08525901  0.05019490
153.86189648  0.04315360  0.04994651
154.17946489  0.08904984  0.05003513
154.49703331  0.09461966  0.04990307
154.81460172  0.06556269  0.04965899
155.13217014  0.06158094  0.04951256
155.44973855  0.07122460  0.05009939
155.76730696  0.10549663  0.05003686
156.08487538  0.06284658  0.04979378
156.40244379  0.06339219  0.04938201
156.72001220  0.04873855  0.05034879
157.03758062  0.09405619  0.04995069
157.35514903  0.08277364  0.05014427
157.67271745  0.06183691  0.04936589
157.99028586  0.05075804  0.04983782
158.30785427  0.07782465  0.05017225
158.62542269  0.09678197  0.04996072
